CMI_wt,dem30_usa,Subz_Name,M_PPT01,PRATIO,B_SHM,USA_Slope,M_Tmin03,TOTAL_LITH,IFC_Solar,QMD,PM_PROP,TO_PROP,DF_PROP,SP_PROP,OH_PROP,OC_PROP,WH_PROP,GF_PROP,WF_PROP,W_ShadeTol,W_DroughtTol
77.0,1068.0,ao,276.0,1311.0,212.0,26.0,9.0,j,1463781.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.01,2.33
77.0,1089.0,ao,276.0,1311.0,212.0,24.0,9.0,j,1516041.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.01,2.33
77.0,1105.0,ao,276.0,1311.0,212.0,11.0,9.0,j,1534804.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.01,2.33
77.0,1106.0,ao,276.0,1311.0,212.0,3.0,9.0,j,1513091.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.01,2.33
77.0,1102.0,ao,276.0,1311.0,212.0,16.0,9.0,m,1357450.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.01,2.33
77.0,1020.0,ao,276.0,1311.0,212.0,15.0,9.0,j,1401160.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.01,2.33
77.0,1033.0,ao,276.0,1311.0,212.0,17.0,9.0,j,1375562.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.01,2.33
77.0,1047.0,ao,276.0,1311.0,212.0,17.0,9.0,j,1401716.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.01,2.33
77.0,1060.0,ao,276.0,1311.0,212.0,18.0,9.0,j,1459479.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.01,2.33
77.0,1076.0,ao,276.0,1311.0,212.0,21.0,9.0,j,1464060.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.01,2.33
77.0,1097.0,ao,276.0,1311.0,212.0,21.0,9.0,j,1459120.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.01,2.33
77.0,1104.0,ao,276.0,1311.0,212.0,12.0,9.0,m,1472187.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.01,2.33
77.0,1106.0,ao,276.0,1311.0,212.0,8.0,9.0,m,1406393.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.01,2.33
77.0,1093.0,ao,276.0,1311.0,212.0,20.0,9.0,m,1285994.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.01,2.33
68.0,971.0,ao,276.0,1311.0,212.0,24.0,9.0,j,1114770.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.01,2.33
68.0,988.0,ao,276.0,1311.0,212.0,20.0,9.0,j,1167069.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.01,2.33
68.0,1004.0,ao,276.0,1311.0,212.0,17.0,9.0,j,1305390.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.01,2.33
